"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13202","@QW Security test request intercept","","Mon Aug 10 21:18:10 GMT-05:00 2026","passed","Mon Aug 10 21:18:23 GMT-05:00 2026","","NetworkTest2.spec.js","",""
"","13865","visual","","Mon Aug 10 21:17:46 GMT-05:00 2026","failed","Mon Aug 10 21:18:00 GMT-05:00 2026","","MoreValidations.spec.js","",""
"","24033","@Web Client app login for ADIDAS ORIGINAL","","Mon Aug 10 21:15:22 GMT-05:00 2026","passed","Mon Aug 10 21:15:46 GMT-05:00 2026","","ClientAppPO.spec.js","",""
"","6494","@API Place the order","","Mon Aug 10 21:20:30 GMT-05:00 2026","passed","Mon Aug 10 21:20:36 GMT-05:00 2026","","WebAPIPart1.spec.js","",""
"","6070","@Child windows hadl","","Mon Aug 10 21:20:16 GMT-05:00 2026","passed","Mon Aug 10 21:20:22 GMT-05:00 2026","","UIBasicstest1.spec.js","",""
"","1289","@API test case 2","","Mon Aug 10 21:21:05 GMT-05:00 2026","passed","Mon Aug 10 21:21:06 GMT-05:00 2026","","WebAPIPart2.spec.js","",""
"","6189","Upload download excel validation","","Mon Aug 10 21:20:23 GMT-05:00 2026","passed","Mon Aug 10 21:20:29 GMT-05:00 2026","","upload-download.spec.js","",""
"","9712","Client app login","","Mon Aug 10 21:20:39 GMT-05:00 2026","passed","Mon Aug 10 21:20:49 GMT-05:00 2026","","WebAPIPart2.spec.js","",""
"","6286","Child Windows handling","","Mon Aug 10 21:18:37 GMT-05:00 2026","passed","Mon Aug 10 21:18:43 GMT-05:00 2026","","UIBasicstest.spec.js","",""
"","6251","Browser Context Playwright test","","Mon Aug 10 21:18:24 GMT-05:00 2026","passed","Mon Aug 10 21:18:30 GMT-05:00 2026","","UIBasicstest.spec.js","",""
"","5577","@Web UI Controls","","Mon Aug 10 21:20:09 GMT-05:00 2026","passed","Mon Aug 10 21:20:15 GMT-05:00 2026","","UIBasicstest1.spec.js","",""
"","19279","Client app login","","Mon Aug 10 21:15:47 GMT-05:00 2026","passed","Mon Aug 10 21:16:07 GMT-05:00 2026","","ClientAppPO.spec.js","",""
"","6314","@SP Place the order","","Mon Aug 10 21:18:01 GMT-05:00 2026","passed","Mon Aug 10 21:18:08 GMT-05:00 2026","","NetworkTest.spec.js","",""
"","14972","@Web Client app login for ZARA COAT 3","","Mon Aug 10 21:15:06 GMT-05:00 2026","passed","Mon Aug 10 21:15:21 GMT-05:00 2026","","ClientAppPO.spec.js","",""
"","11853","@Web Popup validations","","Mon Aug 10 21:17:09 GMT-05:00 2026","passed","Mon Aug 10 21:17:21 GMT-05:00 2026","","MoreValidations.spec.js","",""
"","28528","Client app login","","Mon Aug 10 21:16:33 GMT-05:00 2026","passed","Mon Aug 10 21:17:02 GMT-05:00 2026","","ClientApptestOtherWay.spec.js","",""
"","4590","Calendar validations","","Mon Aug 10 21:15:01 GMT-05:00 2026","passed","Mon Aug 10 21:15:06 GMT-05:00 2026","","Calendar.spec.js","",""
"","8611","Screenshot & Visual comparision","","Mon Aug 10 21:17:21 GMT-05:00 2026","passed","Mon Aug 10 21:17:30 GMT-05:00 2026","","MoreValidations.spec.js","",""
"","5623","Playwright Special locators","","Mon Aug 10 21:17:03 GMT-05:00 2026","passed","Mon Aug 10 21:17:09 GMT-05:00 2026","","llc.spec.js","",""
"","24651","Client app login","","Mon Aug 10 21:16:07 GMT-05:00 2026","passed","Mon Aug 10 21:16:32 GMT-05:00 2026","","ClientApptest.spec.js","",""
"","10693","@Web Browser Context-Validating Error login","","Mon Aug 10 21:18:44 GMT-05:00 2026","passed","Mon Aug 10 21:18:55 GMT-05:00 2026","","UIBasicstest1.spec.js","",""
"","5757","UI Controls","","Mon Aug 10 21:18:31 GMT-05:00 2026","passed","Mon Aug 10 21:18:36 GMT-05:00 2026","","UIBasicstest.spec.js","",""
